word	n_tokens	n_docs	sites	top_series	damaged_share
a-pu2-we	6	6	PY:6	Jn:2,An:1,Cn:1	0.00
do-qe-ja	6	1	PY:6	An:6	0.00
ko-ro-ku-ra-i-jo	6	4	PY:6	An:4,Na:2	0.17
o-a-ke-re-se	6	1	PY:6	Aq:6	0.00
wa-no-jo	6	2	PY:6	Cn:6	0.00
a-ko-so-ta-o	6	4	PY:6	Cn:6	0.17
da-we-u-pi	6	2	PY:6	Cn:6	0.50
su-qo-ta-o	6	6	PY:6	Ea:6	0.00
me-ri-te-wo	6	6	PY:6	Ea:6	0.00
a3-ti-jo-qo	6	5	PY:6	Eb:2,En:2,Eo:1	0.00
pa-ra-ko	6	5	PY:6	Eb:2,Eo:2,Ep:2	0.17
a3-ti-jo-qe	6	1	PY:6	Eo:6	0.00
ku-te-se-jo	6	3	PY:6	Ta:6	0.00
me-na	5	5	KN:5	Fs:1,Gg:1,E-:1	0.60
a-re	5	5	KN:4,PY:1	Fp:1,Mc:1,X-:1	0.80
mo	5	5	KN:5	Dq:1,Xd:1,Dv:1	1.00
graffito	5	4	KN:5	Xd:3,Dl:1,Dk:1	0.40
ko-no-si-jo	5	5	KN:5	V-:1,Xd:1,Am:1	0.60
mi-ka-ta	5	5	PY:4,KN:1	An:2,Vc:1,Eb:1	0.00
wa-na-ka	5	5	KN:2,PY:2,TH:1	Vc:1,Vd:1,Na:1	0.60
wa-tu	5	4	KN:3,PY:2	V-:2,X-:1,Eq:1	0.40
me-ri	5	5	KN:4,PY:1	Gg:3,Uc:1,Un:1	0.80
a-no-qo-ta	5	5	KN:5	Vc:1,Dq:1,Ak:1	0.60
u	5	5	KN:4,PY:1	Fh:1,Bk:1,Dv:1	1.00
i-je-ro	5	5	TH:3,KN:2	Wu:3,Fp:1,Dv:1	0.00
qa-ra-jo	5	5	KN:5	Ga:1,V-:1,E-:1	0.20
e-te-do-mo	5	5	PY:4,KN:1	Uf:1,Ea:1,En:1	0.20
ka-to-ro	5	5	KN:5	Dq:2,L-:1,Do:1	0.80
mi-ru-ro	5	5	KN:5	V-:1,C-:1,Da:1	0.20
a-ro2-a	5	5	KN:5	Ld:3,L-:1,So:1	0.40
e-qe-si-ja	5	5	KN:3,PY:2	Ld:2,L-:1,Sa:1	0.20
o-re-ne-ja	5	5	KN:5	Ld:3,L-:2	0.80
ku-ro2	5	5	TH:3,KN:1,PY:1	Fq:3,As:1,Ea:1	0.80
me-u-jo	5	4	KN:5	Ak:5	0.60
ko-ma-we-to	5	5	KN:5	Dk:3,Ap:1,Dc:1	0.80
na	5	5	KN:2,PY:2,TH:1	Ap:1,Uf:1,Fn:1	1.00
wa-na-ka-te	5	5	PY:4,KN:1	Fr:3,Ga:1,Un:1	0.20
ri-no	5	5	KN:4,PY:1	L-:1,Og:1,Np:1	0.40
qe-ro2	5	5	KN:5	Sk:4,K-:1	0.60
mi-ra	5	5	PY:3,KN:2	X-:1,Xe:1,Eb:1	0.60
to-mi-ka	5	5	KN:5	L-:5	0.20
ko-no-si-ja	5	5	KN:5	E-:1,Bg:1,X-:1	0.40
si-to	5	4	TH:3,KN:1,MY:1	Av:2,Am:1,Ft:1	0.00
pu-te	5	5	KN:5	Uf:4,As:1	0.60
ko-do	5	5	PY:4,KN:1	Ea:3,Uf:1,Vn:1	0.00
ku-ru-so	5	4	PY:3,KN:2	Ta:3,K-:1,X-:1	0.40
pa-ta	5	5	KN:2,PY:1,TH:1,MY:1	C-:1,Vc:1,Cn:1	0.40
pa-na-re-jo	5	5	KN:4,PY:1	As:2,Vf:1,U-:1	0.40
su-ki-ri-ta	5	5	KN:5	Db:2,Dn:1,Df:1	0.20
wo-no	5	5	KN:2,PY:2,MY:1	Dv:1,X-:1,Jo:1	0.80
a-si-wi-jo	5	5	PY:2,MY:2,KN:1	Au:2,Df:1,Cn:1	0.20
o-na-se-u	5	5	PY:4,KN:1	Jn:3,Vs:1,An:1	0.00
pe-ko	5	4	KN:3,PY:2	Dv:2,Cn:2,Dc:1	0.60
po-si	5	5	KN:5	Sd:5	0.40
a-na-mo-to	5	5	KN:5	Sf:5	0.40
o-da-twe-ta	5	5	KN:5	So:5	0.20
ti	5	5	KN:4,PY:1	Df:1,Xe:1,Xd:1	1.00
