doc	context	sigla	epoch
HTWa1579	LMIB	LMIB	LM
HTWa1580	LMIB		LM
HTWa1581	LMIB		LM
HTWa1582	LMIB		LM
HTWa1583	LMIB		LM
HTWa1584	LMIB	LMIB	LM
HTWa1585	LMIB		LM
HTWa1586	LMIB		LM
HTWa1587	LMIB	LMIB	LM
HTWa1588	LMIB		LM
HTWa1589	LMIB		LM
HTWa1590	LMIB	LMIB	LM
HTWa1591	LMIB		LM
HTWa1592	LMIB	LMIB	LM
HTWa1593	LMIB		LM
HTWa1594	LMIB		LM
HTWa1595	LMIB		LM
HTWa1596	LMIB		LM
HTWa1597	LMIB		LM
HTWa1598	LMIB	LMIB	LM
HTWa1599	LMIB		LM
HTWa1600	LMIB	LMIB	LM
HTWa1601	LMIB		LM
HTWa1602	LMIB		LM
HTWa1603	LMIB	LMIB	LM
HTWa1604	LMIB		LM
HTWa1605	LMIB		LM
HTWa1606	LMIB		LM
HTWa1607	LMIB		LM
HTWa1608	LMIB	LMIB	LM
HTWa1609	LMIB		LM
HTWa1610	LMIB	LMIB	LM
HTWa1611	LMIB		LM
HTWa1612	LMIB	LMIB	LM
HTWa1613	LMIB	LMIB	LM
HTWa1614	LMIB	LMIB	LM
HTWa1615	LMIB		LM
HTWa1616	LMIB		LM
HTWa1618	LMIB		LM
HTWa1619	LMIB		LM
HTWa1620	LMIB		LM
HTWa1621	LMIB		LM
HTWa1622	LMIB		LM
HTWa1623	LMIB	LMIB	LM
HTWa1624	LMIB	LMIB	LM
HTWa1625	LMIB	LMIB	LM
HTWa1626	LMIB		LM
HTWa1627	LMIB		LM
HTWa1628	LMIB		LM
HTWa1629	LMIB		LM
HTWa1630	LMIB		LM
HTWa1631	LMIB	LMIB	LM
HTWa1632	LMIB		LM
HTWa1633	LMIB		LM
HTWa1634	LMIB		LM
HTWa1635	LMIB		LM
HTWa1636	LMIB		LM
HTWa1637	LMIB		LM
HTWa1638	LMIB		LM
HTWa1639	LMIB	LMIB	LM
HTWa1640	LMIB		LM
HTWa1641	LMIB		LM
HTWa1642	LMIB		LM
HTWa1643	LMIB		LM
HTWa1644	LMIB		LM
HTWa1645	LMIB		LM
HTWa1646	LMIB		LM
HTWa1647	LMIB		LM
HTWa1648	LMIB		LM
HTWa1649	LMIB		LM
HTWa1650	LMIB		LM
HTWa1651	LMIB		LM
HTWa1652	LMIB		LM
HTWa1653	LMIB		LM
HTWa1654	LMIB	LMIB	LM
HTWa1655	LMIB		LM
HTWa1656	LMIB		LM
HTWa1657	LMIB		LM
HTWa1658	LMIB	LMIB	LM
HTWa1659	LMIB	LMIB	LM
HTWa1660	LMIB		LM
HTWa1661	LMIB		LM
HTWa1662	LMIB		LM
HTWa1664	LMIB		LM
HTWa1665	LMIB		LM
