word	slots	n_tablets
a-ra-ka-jo	N1	1
po-ki-te	N1	1
ma-di-qo	N1	1
to-wa-no	N1	1
pu-na-si-jo	N1	1
e-wi-to-wo	N1	1
ru-a2	N1	1
re-ka-ta	N1	1
ma-ja-ro	N1	1
te-u-ta-ra-ko-ro	N1	1
a-wa-ti-ka-ra	N1	1
no-sa-ro	N3	1
a-me-a	N3	1
ki-mu-ku	N3	1
pe-ki-ti	N1	1
tu-qa-ni-ja-so	N3	1
a-ka-na-jo	N1b	1
ko-wa-to	N1	1
ma-ra-te-u	N1	1
da-to-re-u	N1	1
wo-ki-ro	N1	1
ke-zo	N1	1
po-ri-ko	N1	1
pu-za-ko	N1	1
wo-ze	N7	1
pa-re	N3	1
pi-ki-nu-wo	N3	1
ki-ta-ne-to	N3	1
pa-mo	N3	1
me-ri-to	N6	1
