word	slots	n_docs
di-wi-ja-wo	N5,N6	1
di-wo	N1b,N3	2
di-wo-a-ne	N6	1
di-za	N3	1
di-za-so	N3	1
di-zo	N5	1
do-e-ra	N1,N4	22
do-e-ro	N1,N2,N4,N5,N6	24
do-ka-ma-i	N1	1
do-qe-u	N1	1
do-qo-no	N2	1
do-qo-so	N1	1
do-ri-jo	N1	1
do-ro	N3	1
do-ro-jo-jo	N2	1
do-ro-me-u	N1	1
do-ti	N3	1
do-ti-ja	N1,N3,N6	7
do-ti-jo	N3	1
du	N3,N6	2
du-ko-so	N5	1
du-ma	N1	2
du-ni	N3	2
du-ni-jo	N1,N1b,N2,N4	5
du-pi-jo	N6	1
du-pu2-ra-zo	N3	1
du-re-u	N1	1
du-ri	N3	1
du-ro	N3	1
du-ru-po	N1,N6	1
du-ta-so	N3	1
du-to	N1,N6	1
du-wo-jo	N5	1
e	N1,N2,N5,N6	5
e-do-mo-ne-u	N1	2
e-do-mo-ne-we	N2	1
e-i-ja-si	N1	1
e-ka-no	N5	1
e-ka-ra	N7	1
e-ka-ra-e-we	N3	4
e-ke	N3,N4,N6,N7	31
e-ke-i-ja-ta	N1	1
e-ke-ne	N1b	1
e-ke-qe	N4	36
e-ke-ra2-wo-no	N1	1
e-ke-ro	N5	1
e-ke-ro-qo-no	N1	2
e-ke-se	N1	1
e-ke-si-jo	N1	1
e-ki-no	N3	1
e-ki-wo	N1	1
e-ko-so	N3	11
e-ko-to-ri-jo	N2	1
e-me-si-jo	N3	1
e-na-po-ro	N1b	2
e-ne-e-si	N1	1
e-ne-ka	N1b	1
e-ne-ke-se-u	N3	1
e-ne-ra	N1	1
e-ni-ja-u-si-jo	N1	1
e-nwa-ri-jo	N1	1
e-pa-re	N1	1
e-pa-ta	N1	1
e-pe-ke-u	N5	1
e-pi-da-o	N5,N6	1
e-pi-jo-ta-na	N1	1
e-pi-ki-to-ni-ja	N1	1
e-pi-ko-o	N1	1
e-pi-ta-jo	N5	1
e-qa-ro	N3	1
e-qe	N1	1
e-qo-te	N1	1
e-ra	N3	5
e-ra-ja	N1,N1b,N3,N6	2
e-ra-ne	N1	1
e-ra-se	N1	1
e-ra-te-i	N1	1
e-ra-te-re-wa-pi	N1b	1
e-ra-to	N3	1
e-re-e	N1	1
e-re-e-we	N1b	1
e-re-i	N1b	1
e-re-pa-i-ro	N6	1
e-re-ta	N1	1
e-re-u-ta	N1	1
e-ri-no-wo-te	N1b	1
e-ri-qi-jo	N4	1
e-ri-ta-qi-jo	N6	1
e-ri-to-ti-no	N1b	1
e-ri-we-ro	N2	1
e-ro-ma-to	N1	1
e-ro-u-ta	N3	1
e-ru-si-jo	N2	1
e-ru-ta-jo	N1	1
e-ru-to-ro	N3,N5,N6	2
e-sa-re-we	N1	1
e-se-re-e-jo	N3	2
e-ta-je-u	N1b	1
e-te-do-mo	N4	3
e-te-wa	N2	1
e-te-wa-no	N2	1
e-te-we	N2	1
e-ti-ra-wo	N2	1
e-ti-wa-ja	N1	1
e-to	N3	1
e-to-ni-jo	N1b	1
e-u-da-mo	N1	1
e-u-de-we-ro	N1	2
e-u-do-no	N1	1
e-u-ka-ro	N1	2
e-u-ko-me-no	N5	1
e-u-ko-ro	N3	2
e-u-me-de	N4	2
e-u-me-ne	N1,N4	3
e-u-me-ta	N3	1
e-u-mo	N3	1
e-u-na-wo	N3,N5,N6	2
e-u-o-mo	N6	1
e-u-po-ro-qe	N1	1
e-u-po-ro-wo	N1	2
e-u-qo-ne	N2	1
e-u-ru-wo-ta	N1	1
e-u-wa-ko-ro	N5	1
e-u-wa-re	N1	1
e-u-we-to	N1	1
e-wa-ra-jo	N3	1
e-we-de-u	N6	1
e-we-za-no	N1	1
e-wi-ri-pi-ja	N1	1
e-wi-ri-po	N1	1
e-wi-ta-jo	N6	1
e-wi-te-we	N2	1
e-wi-to-wo	N1	1
e-wo-ro-qe	N1	1
e-zo-wo	N2	2
fragmentum	N6	3
graffito	N3	2
i	N2,N7	1
i-e-re-u	N4	1
i-ja-te	N4	1
i-je-re-ja	N4	2
i-je-re-u	N1,N4	2
i-je-ro	N3	1
i-jo-qe	N1	1
i-jo-te	N1	1
i-ke-ke-ra	N3	1
i-ke-se	N6	1
i-ke-se-ra	N3	1
i-ma-di-ja	N4	1
i-ma-di-jo	N1,N2,N7	2
i-mi-ri-jo	N3	1
