word	count	n_docs
ke-ke-me-na-o	4	4
ka-pa-ti-ja	4	4
ko-ri-si-ja	4	3
a-da-ma-o	4	4
ra-su-ro	4	4
e-do-mo-ne-u	4	4
ke-sa-da-ra	4	4
wo-do-we	4	4
qe-te-jo	4	4
a3-so-ni-jo	4	4
qa-si-re-u	4	4
a-e-ri-qo	4	3
pe-ru-si-nu-wo	4	4
a-pi-no-e-wi-jo	4	3
e-ma-a2	4	4
ke-re-si-jo	4	2
ti-ri-po	4	2
ra-e-ja	4	2
to-no	4	3
e-re-pa-te-ja-pi	4	3
qe-qi-no-me-na	4	3
o-te	4	4
i-je-to-qe	4	1
di-pte-ra	4	1
qe-te-a2	4	4
a-ko-so-ne	4	4
ma-di-je	4	4
a-me-ro	4	4
i-qo-po-qo-i	4	4
a-ra-o	4	4
a-pu-wa	4	4
te-qa-de	4	4
ke-po	4	4
ku-ru-zo	4	4
da-da-re-jo-de	3	3
a-mi-ni-so-de	3	3
wo-de-wi-jo	3	3
e-me-si-jo-jo	3	3
pi-ra-me-no	3	3
pe-re-qo-ta	3	3
ro-ru	3	2
e-u-da-mo	3	3
ti-jo	3	3
a-ke-u	3	3
re-u-ka-ta	3	3
di-ka	3	3
ke-re-u	3	3
qe-da-do-ro	3	3
pa-na-so	3	3
o-ko-te	3	3
i-ne-u	3	3
na-e-si-jo	3	3
ta-pa-no	3	3
pe-ri-to-wo	3	3
pa-pa-ro	3	3
ku-ru-me-no	3	3
a-ko-to	3	3
pa-re	3	3
pa-wa-wo	3	3
ku-ne	3	3
e-po	3	3
a-mi-ni-si-jo	3	3
pa-no	3	3
du-ru-po	3	3
a3-ki-pa-ta	3	3
to-ro-qa	3	3
ki-ri-te-wi-ja	3	3
a-ra-si-jo	3	3
ta-u-na-so	3	3
da-wa-no	3	3
ka-mo	3	3
ni-to	3	3
zo	3	3
si-ja	3	3
e-to-wo-ko	3	3
ku-pa-ro	3	3
i-se-we-ri-jo	3	3
di-zo	3	3
e-u-ko-ro	3	3
a-nu-mo	3	3
ta-za-ro	3	3
to-u-ka	3	3
ti-ri	3	3
ri-jo-ni-ja	3	3
pe-ko-to	3	3
ne-we-wi-ja	3	3
e-pi-qe	3	3
te-jo	3	3
ke-se-nu-wi-ja	3	3
po-ki-ro-nu-ka	3	3
ko-u-re-ja	3	3
ko-ro-ta2	3	3
ri-ta	3	3
e-qe-si-jo	3	3
do-ti-jo	3	3
ku-ka-ro	3	3
o-na-jo	3	3
o-ne	3	3
na-u-do-mo	3	3
u-ta-ni-jo	3	3
pu-si-jo	3	3
re-ja	3	3
pa-we-a2	3	3
o-ku	3	3
ka-ta-no	3	3
o-pe	3	3
a-pe-o-te	3	3
ko-pe-re-u	3	3
si-ra-ko	3	3
ru-ro	3	3
su-za	3	3
di-wo	3	3
te-o-i	3	3
i-da-i-jo	3	3
a-na-to	3	3
po-ro	3	2
a-ko-ra-ja	3	3
pu-wo	3	3
wa-du-na-ro	3	3
te-re	3	3
ko-ma-we-te	3	3
a-pi-qo-ta	3	3
da	3	3
nu-ka	3	3
ma-ri	3	3
pe-ri-te-u	3	3
ka-ta	3	2
e-pi-zo-ta	3	2
pu	3	3
i-ra-ta	3	3
du-ma	3	3
wi	3	3
a-ko-mo-ni-jo	3	3
a-wa-so	3	3
si-ta-ro	3	3
e-u-na-wo	3	3
ra-so	3	3
do-ti	3	3
e-to	3	3
ru	3	3
ne-u	3	3
ti-ja	3	3
a-te-mo	3	3
wo-ne-we	3	3
ki-ta-no	3	3
do-ro	3	3
a3-ko-ta	3	3
o-pi-si-jo	3	3
ti-qa-jo	3	3
wi-jo	3	3
a-nu	3	2
ka-si-ko-no	3	3
me-sa-to	3	3
te-u	3	3
wi-ri-za	3	3
pte-no	3	3
mi-to-we-sa	3	3
u-po	3	2
wo-ti-jo	3	3
wa-ja	3	3
si	3	3
e-zo-wo	3	3
qo	3	3
e-qe	3	3
a-ti	3	3
ke-ke-me	3	3
te-we	3	3
ko-ru	3	3
ku-ri-sa-to	3	3
pe-re-ta	3	3
pa-ke-te-ja	3	3
e-u-de-we-ro	3	3
o-pi-ro-qo	3	3
re-wo-to-ro-ko-wo	3	3
mi-ra-ti-ja	3	3
a-pi-qo-ro	3	3
a-ke-ti-ra2	3	2
o-wi-to-no	3	3
e-re	3	3
i-na-ni-ja	3	3
me-tu-ra	3	3
su-ra-se	3	3
po-ra-pi	3	3
to-ko-do-mo	3	3
o-pi-te-u-ke-e-we	3	3
qa-ra2-te	3	3
pu-ko-ro	3	3
au-ke-wa	3	3
a-e-ri-qo-ta	3	3
ke-ki	3	3
da-ko-ro	3	3
ra-mi-ni-jo	3	3
ki-ti-ta	3	2
po-ki-ro-qo	3	3
ne-wo-ki-to	3	2
e-ri-ko-wo	3	3
ma-ra-te-u	3	3
e-re-e-we	3	3
ra-wa-ke-ta	3	3
e-sa-re-wi-ja	3	3
mi-jo-qa	3	2
a-ke-re-se	3	1
ti-mi-ti-ja	3	3
to-to-we-to	3	1
ne-qe-u	3	3
a-ko-to-wo	3	3
ra-ma-jo	3	3
a-ka-na-jo	3	1
i-ma-di-jo	3	3
e-ra-te-re-wa-pi	3	3
re-qa-se-wo	3	1
ti-ri-da-ro	3	3
e-ro2-qo	3	3
e-ka-ra	3	2
qo-qo-ta-o	3	3
wo-ze	3	3
ra-wa-ke-si-jo-jo	3	3
e-u-me-ne	3	3
e-u-me-de	3	3
a-no-no	3	3
